# Episodio, Loss
0, 0.0000
1, 83.6264
2, 100.9275
3, 118.5438
4, 94.1691
5, 105.0202
6, 157.0597
7, 126.1295
8, 102.4847
9, 66.9533
10, 108.6714
11, 65.4182
12, 76.0226
13, 78.0559
14, 96.4437
15, 85.1425
16, 64.9899
17, 57.5612
18, 68.8352
19, 53.2355
20, 60.8209
21, 39.1443
22, 55.3196
23, 63.3305
24, 72.3272
25, 85.6644
26, 55.5038
27, 62.1326
28, 67.8034
29, 57.3245
30, 51.7494
31, 51.4915
32, 30.4845
33, 42.4413
34, 45.3608
35, 47.0252
36, 45.1459
37, 43.2531
38, 48.1159
39, 49.7306
40, 38.0734
41, 43.0599
42, 37.1055
43, 41.1350
44, 44.0540
45, 49.6211
46, 41.5977
47, 35.2431
48, 28.4646
49, 31.5020
50, 49.7380
51, 43.7422
52, 38.7178
53, 41.2428
54, 47.1925
55, 40.5957
56, 42.4993
57, 33.1952
58, 40.2244
59, 39.4973
60, 54.9677
61, 29.3781
62, 40.1268
63, 40.2150
64, 36.8622
65, 54.3733
66, 42.3335
67, 38.2722
68, 21.3440
69, 34.1637
70, 24.5127
71, 34.8092
72, 47.9933
73, 45.6790
74, 41.8947
75, 39.3836
76, 43.3142
77, 42.0756
78, 58.6908
79, 38.7742
80, 55.5778
81, 54.5374
82, 51.4937
83, 41.3979
84, 46.6076
85, 53.5105
86, 65.5942
87, 69.5314
88, 55.4264
89, 56.4340
90, 59.7546
91, 56.6550
92, 80.8657
93, 32.4450
94, 43.5027
95, 70.4791
96, 67.7275
97, 71.8983
98, 67.2131
99, 64.7728
100, 63.0849
101, 71.7122
102, 82.5851
103, 103.2925
104, 63.3982
105, 83.5179
106, 91.6572
107, 58.5413
108, 76.8062
109, 127.7300
110, 83.9040
111, 98.1543
112, 137.9025
113, 89.6430
114, 80.8686
115, 62.2194
116, 108.7688
117, 89.5588
118, 129.8861
119, 57.3693
120, 96.9895
121, 97.3251
122, 164.5709
123, 128.5471
124, 92.8908
125, 155.4466
126, 78.0538
127, 151.8323
128, 86.5956
129, 112.9630
130, 69.7338
131, 90.6851
132, 119.1647
133, 93.4142
134, 74.1933
135, 64.8371
136, 135.5006
137, 52.8466
138, 158.7586
139, 136.2200
140, 121.6769
141, 98.8610
142, 143.5732
143, 191.0935
144, 136.8762
145, 38.1276
146, 135.7014
147, 105.3254
148, 155.2293
149, 135.3494
150, 167.7153
151, 162.1532
152, 151.5970
153, 59.6557
154, 170.5327
155, 131.0726
156, 95.2095
157, 181.9874
158, 119.5122
159, 224.7312
160, 151.3856
161, 80.9048
162, 170.0599
163, 166.0694
164, 50.5712
165, 96.9129
166, 201.4332
167, 111.6672
168, 299.7999
169, 158.9740
170, 146.6729
171, 193.4619
172, 150.5583
173, 106.4089
174, 107.6380
175, 93.1868
176, 198.8008
177, 132.0614
178, 220.6305
179, 239.1236
180, 155.1150
181, 211.3788
182, 77.6678
183, 245.4100
184, 180.7238
