# Episodio, Score_Promedio_50ep
49, -185.42
50, -184.57
51, -182.56
52, -175.50
53, -175.41
54, -171.49
55, -174.28
56, -177.17
57, -179.65
58, -183.68
59, -182.93
60, -179.10
61, -176.90
62, -178.57
63, -177.89
64, -173.37
65, -172.62
66, -175.10
67, -170.71
68, -170.65
69, -171.81
70, -165.38
71, -157.93
72, -155.44
73, -156.41
74, -155.45
75, -156.12
76, -153.11
77, -157.30
78, -157.02
79, -164.42
80, -164.35
81, -158.91
82, -156.27
83, -155.26
84, -154.16
85, -154.52
86, -149.72
87, -150.42
88, -149.10
89, -148.36
90, -144.97
91, -146.00
92, -144.39
93, -144.70
94, -143.53
95, -143.26
96, -141.51
97, -139.23
98, -137.94
99, -133.96
100, -135.28
101, -139.48
102, -139.91
103, -138.89
104, -138.88
105, -137.14
106, -134.69
107, -132.29
108, -127.16
109, -126.90
110, -126.58
111, -126.43
112, -123.65
113, -123.86
114, -124.85
115, -126.94
116, -122.05
117, -125.01
118, -124.61
119, -121.56
120, -120.45
121, -119.67
122, -119.02
123, -119.94
124, -121.28
125, -119.82
126, -120.30
127, -114.72
128, -115.59
129, -110.67
130, -110.48
131, -110.30
132, -110.40
133, -109.85
134, -109.72
135, -109.71
136, -106.50
137, -105.38
138, -102.41
139, -102.98
140, -104.69
141, -105.99
142, -106.48
143, -107.58
144, -107.90
145, -107.48
146, -107.61
147, -107.16
148, -107.94
149, -105.49
150, -107.48
151, -101.37
152, -101.23
153, -101.73
154, -100.78
155, -97.70
156, -96.88
157, -97.56
158, -97.27
159, -94.99
160, -96.13
161, -95.49
162, -96.02
163, -96.10
164, -95.56
165, -97.34
166, -101.44
167, -96.30
168, -94.76
169, -94.40
170, -94.91
171, -94.61
172, -94.19
173, -94.49
174, -93.68
175, -93.33
176, -92.13
177, -90.85
178, -89.87
179, -86.98
180, -86.45
181, -85.70
182, -86.14
183, -84.54
184, -85.07
185, -84.03
186, -83.02
187, -84.58
188, -86.21
189, -86.35
190, -83.61
191, -79.62
192, -78.19
193, -76.85
194, -76.24
195, -75.38
196, -75.42
197, -74.77
198, -78.53
199, -78.40
200, -75.40
201, -76.93
202, -75.79
203, -75.40
204, -75.59
205, -77.36
206, -77.36
207, -76.57
208, -77.62
209, -77.49
210, -75.56
211, -76.52
212, -76.82
213, -76.60
214, -76.40
215, -71.02
216, -68.20
217, -66.88
218, -67.24
219, -68.19
220, -68.16
221, -68.19
222, -68.70
223, -68.83
224, -69.05
225, -68.63
226, -68.96
227, -66.97
228, -66.40
229, -66.72
230, -66.44
231, -66.81
232, -66.92
233, -66.94
234, -66.40
235, -65.58
236, -65.98
237, -63.99
238, -64.45
239, -63.26
240, -63.04
241, -64.68
242, -63.84
243, -62.62
244, -62.84
245, -63.32
246, -63.64
247, -63.83
248, -59.09
249, -58.88
250, -58.47
251, -58.16
252, -58.74
253, -58.01
254, -58.69
255, -57.96
256, -58.80
257, -57.12
258, -55.60
259, -56.56
260, -56.01
261, -56.55
262, -56.18
263, -54.66
264, -55.06
265, -55.09
266, -55.04
267, -55.92
268, -56.50
269, -55.20
270, -56.11
271, -55.21
272, -54.59
273, -52.71
274, -50.61
275, -51.23
276, -51.43
277, -53.93
278, -53.26
279, -52.70
280, -57.89
281, -55.40
282, -53.53
283, -52.33
284, -52.86
285, -52.56
286, -52.42
287, -52.49
288, -51.41
289, -52.32
290, -52.81
291, -52.46
292, -54.78
293, -55.30
294, -55.34
295, -56.21
296, -55.57
297, -54.07
298, -53.92
299, -53.27
300, -54.53
301, -54.72
302, -57.56
303, -58.69
304, -56.35
305, -55.10
306, -53.65
307, -54.28
308, -58.34
309, -57.17
310, -58.44
311, -56.91
312, -55.24
313, -56.09
314, -55.74
315, -55.47
316, -54.69
317, -53.54
318, -56.94
319, -60.66
320, -60.87
321, -60.45
322, -61.85
323, -62.09
324, -62.01
325, -61.53
326, -62.86
327, -61.81
328, -62.16
329, -62.76
330, -57.86
331, -59.41
332, -61.14
333, -61.21
334, -61.66
335, -61.91
336, -61.67
337, -65.02
338, -68.45
339, -69.54
340, -68.44
341, -71.34
342, -70.70
343, -69.77
344, -68.91
345, -69.54
346, -70.80
347, -71.26
348, -70.53
349, -71.18
350, -70.13
351, -71.38
352, -67.64
353, -66.24
354, -68.39
355, -71.57
356, -70.47
357, -71.37
358, -68.10
359, -68.10
360, -66.05
361, -69.20
362, -70.36
363, -70.17
364, -67.84
365, -69.22
366, -69.86
367, -70.46
368, -67.28
369, -64.49
370, -63.57
371, -65.53
372, -66.39
373, -66.04
374, -66.72
375, -68.69
376, -69.57
377, -67.97
378, -69.55
379, -68.78
380, -67.55
381, -67.64
382, -66.40
383, -66.71
384, -65.44
385, -66.45
386, -65.51
387, -66.20
388, -65.07
389, -63.73
390, -64.33
391, -61.32
392, -60.86
393, -60.16
394, -60.14
395, -58.16
396, -56.72
397, -57.55
398, -57.99
399, -62.81
400, -62.82
401, -61.26
402, -62.94
403, -63.92
404, -62.50
405, -59.18
406, -63.91
407, -63.04
408, -61.53
409, -62.11
410, -65.35
411, -61.63
412, -60.85
413, -59.90
414, -62.12
415, -61.85
416, -61.27
417, -60.18
418, -58.34
419, -57.52
420, -56.75
421, -56.36
422, -53.19
423, -53.21
424, -52.99
425, -49.93
426, -46.62
427, -46.38
428, -41.96
429, -42.19
430, -42.33
431, -42.47
432, -41.60
433, -41.74
434, -41.06
435, -40.90
436, -40.43
437, -35.17
438, -32.15
439, -29.98
440, -30.42
441, -29.31
442, -29.20
