# Episodio, Score
0, -137.29
1, -206.17
2, -245.54
3, -114.41
4, -116.63
5, -142.15
6, -134.10
7, 45.20
8, -178.50
9, -340.20
10, -333.91
11, -330.63
12, -51.59
13, -256.58
14, -390.41
15, -114.16
16, -292.14
17, -135.57
18, -175.47
19, -82.42
20, -83.71
21, -20.24
22, -70.07
23, -213.25
24, -173.09
25, -107.73
26, -354.78
27, -37.81
28, -135.00
29, -86.10
30, -2.94
31, -214.87
32, -235.78
33, -298.17
34, -209.80
35, -265.82
36, -370.51
37, -208.73
38, -119.02
39, -191.55
40, -97.62
41, -101.64
42, -182.42
43, -223.64
44, -213.18
45, -200.47
46, -88.02
47, -249.03
48, -55.26
49, -142.23
50, -66.50
51, -113.44
52, -176.22
53, -230.26
54, -89.15
55, -106.61
56, -247.69
57, -334.51
58, -1.33
59, -219.17
60, -43.38
61, -264.89
62, -119.35
63, -33.68
64, -307.36
65, -111.85
66, -156.89
67, -23.03
68, 14.73
69, -118.46
70, -287.01
71, -158.16
72, -220.52
73, -112.75
74, -75.77
75, -173.15
76, -68.25
77, -84.74
78, -109.36
79, -122.99
80, -112.18
81, -75.47
82, -137.66
83, -9.22
84, -139.25
85, -88.33
86, -56.84
87, -163.17
88, -147.41
89, -158.36
90, -74.77
91, -179.05
92, -83.10
93, -112.40
94, -134.88
95, -76.94
96, -97.27
97, -168.21
98, -82.36
99, -194.44
100, -66.04
101, -70.82
102, -146.71
103, -64.58
104, -102.96
105, -107.32
106, -138.82
107, -126.28
108, -315.36
109, -146.73
110, -206.02
111, -241.52
112, -76.28
113, -45.62
114, -65.19
115, -286.28
116, -69.62
117, -331.39
118, -139.57
119, -75.78
120, -38.92
121, -88.67
122, -148.38
123, -56.49
124, -113.49
125, -66.11
126, -157.53
127, -61.07
128, -185.92
129, -53.79
130, -74.78
131, -48.92
132, -137.93
133, -79.20
134, -55.76
135, -55.30
136, -68.98
137, -45.86
138, -54.63
139, -140.55
140, -157.53
141, -141.31
142, -130.11
143, -89.70
144, -113.13
145, -41.05
146, -77.46
147, -85.43
148, -78.68
149, -93.20
150, -101.83
151, -306.16
152, -149.43
153, -199.50
154, -47.35
155, -332.17
156, -58.00
157, -76.96
158, -20.92
159, -41.41
160, -28.75
161, -110.75
162, -13.27
163, -93.21
164, -74.34
165, -60.88
166, -126.79
167, -146.54
168, -43.89
169, -120.99
170, -51.07
171, -52.68
172, -95.96
173, -62.69
174, -131.61
175, -378.55
176, -74.36
177, -71.51
178, -90.74
179, -233.46
180, -91.77
181, -76.10
182, -77.89
183, -224.29
