# Episodio, Loss
0, 1.1144
1, 81.2410
2, 76.8929
3, 88.7342
4, 92.3928
5, 80.6833
6, 98.5873
7, 92.9663
8, 98.4171
9, 96.0915
10, 129.6811
11, 112.2838
12, 83.7157
13, 110.0963
14, 116.8549
15, 118.1838
16, 89.7421
17, 92.1811
18, 84.6471
19, 119.7894
20, 98.4776
21, 88.9652
22, 79.7956
23, 97.8455
24, 116.1114
25, 131.0456
26, 86.8942
27, 92.2494
28, 82.4344
29, 70.4363
30, 65.1407
31, 47.1615
32, 81.7941
33, 43.5969
34, 75.2553
35, 46.7296
36, 48.8004
37, 98.8294
38, 69.1703
39, 52.6279
40, 54.0220
41, 42.0759
42, 53.4002
43, 49.2262
44, 57.6972
45, 54.9774
46, 41.3638
47, 42.1120
48, 50.0006
49, 43.4992
50, 52.6945
51, 39.6373
52, 42.5865
53, 43.3031
54, 28.4802
55, 43.4138
56, 54.2284
57, 41.7333
58, 31.5961
59, 54.6229
60, 30.6994
61, 49.5993
62, 54.3442
63, 37.3106
64, 59.3257
65, 43.8502
66, 38.1473
67, 35.5657
68, 45.5344
69, 55.0804
70, 50.7779
71, 49.8751
72, 43.8123
73, 62.7673
74, 42.1498
75, 32.7342
76, 63.6555
77, 65.4645
78, 46.2916
79, 74.3378
80, 47.1755
81, 54.0258
82, 43.6385
83, 45.9485
84, 55.3260
85, 46.3902
86, 60.0064
87, 90.9137
88, 96.7194
89, 63.8245
90, 75.3710
91, 51.3688
92, 78.3907
93, 52.5000
94, 61.2144
95, 62.6218
96, 88.6436
97, 82.0252
98, 57.7692
99, 78.3753
100, 109.6534
101, 59.8388
102, 55.7817
103, 75.1305
104, 81.8992
105, 41.3463
106, 109.5585
107, 64.7431
108, 52.0629
109, 83.3014
110, 70.7237
111, 72.0069
112, 67.7025
113, 66.8084
114, 81.0164
115, 60.8040
116, 69.0904
117, 100.2298
118, 114.3303
119, 99.8863
120, 115.2119
121, 65.4574
122, 64.3399
123, 46.2972
124, 93.5649
125, 52.8584
126, 48.8933
127, 43.2929
128, 67.0723
129, 60.0538
