# Episodio, Loss
0, 4.1639
1, 88.0784
2, 86.3225
3, 91.8708
4, 89.0783
5, 82.2764
6, 59.8501
7, 76.8610
8, 76.7862
9, 78.3605
10, 99.0533
11, 93.2894
12, 89.1599
13, 99.0124
14, 148.1399
15, 115.4628
16, 92.6086
17, 102.9331
18, 97.6564
19, 110.0009
20, 88.8592
21, 109.2236
22, 95.1430
23, 88.1877
24, 83.7388
25, 72.0628
26, 88.5286
27, 94.6923
28, 111.5440
29, 92.0902
30, 83.4466
31, 96.4406
32, 107.6052
33, 79.7613
34, 84.9755
35, 57.1623
36, 55.5081
37, 48.9040
38, 77.6438
39, 67.3016
40, 107.6526
41, 77.0090
42, 75.1918
43, 52.5839
44, 85.7361
45, 63.9341
46, 85.1774
47, 59.7488
48, 72.0174
49, 71.5423
50, 54.9214
51, 48.1604
52, 56.9770
53, 44.5281
54, 51.9970
55, 59.1127
56, 74.3271
57, 44.7159
58, 28.8177
59, 41.3244
60, 39.5411
61, 47.2821
62, 38.2330
63, 51.1630
64, 42.6699
65, 45.5097
66, 36.9000
67, 45.2702
68, 33.1883
69, 47.1317
70, 55.4640
71, 46.4775
72, 50.5114
73, 38.7336
74, 33.2308
75, 45.0158
76, 34.8939
77, 43.0507
78, 50.1019
79, 49.1582
80, 46.9504
81, 49.6626
82, 38.2780
83, 52.2480
84, 44.5806
85, 35.4617
86, 41.9776
87, 37.8691
88, 37.6443
89, 39.8232
90, 45.8124
91, 33.8280
92, 42.2163
93, 39.8714
94, 39.5613
95, 36.2363
96, 42.6796
97, 50.5967
98, 29.5213
99, 33.0487
100, 35.3723
101, 38.3286
102, 39.0323
103, 37.6347
104, 44.7921
105, 35.3733
106, 41.5858
107, 39.6635
108, 40.1629
109, 35.5029
110, 41.9436
111, 37.0615
112, 25.9055
113, 25.1320
114, 22.5139
115, 30.2579
116, 29.2884
117, 33.3054
118, 34.2210
119, 31.4806
120, 30.8900
121, 27.8434
122, 21.0241
123, 34.7921
124, 23.7479
125, 27.9523
126, 27.6046
127, 24.9543
128, 26.4839
129, 20.9757
130, 24.6609
131, 26.6622
132, 19.2708
133, 16.1148
134, 15.6098
135, 15.9726
136, 13.5538
137, 18.9268
138, 19.9461
139, 23.1051
140, 21.8553
141, 17.3144
142, 18.3895
143, 16.0884
144, 18.7232
145, 19.8824
146, 18.7183
147, 19.2736
148, 19.1437
149, 17.1387
150, 22.9926
151, 17.6550
152, 18.9882
153, 15.1522
154, 14.2164
155, 15.9694
156, 17.5486
157, 13.7156
158, 16.9735
159, 13.0700
160, 16.0557
161, 12.2892
162, 11.7146
163, 10.6352
164, 9.2061
165, 11.0161
166, 10.9733
167, 10.9931
168, 9.4932
169, 10.9539
170, 18.4130
171, 9.1880
172, 9.4857
173, 9.9360
174, 9.4094
175, 8.7708
176, 7.9150
177, 8.1340
178, 8.8358
179, 9.9082
180, 9.6736
181, 7.5626
182, 10.5474
183, 7.7065
184, 7.9612
185, 6.0823
186, 8.3967
187, 6.1442
188, 6.2069
189, 5.5426
190, 9.5548
191, 6.8337
192, 8.0489
193, 7.9588
194, 5.0302
195, 4.8199
196, 6.7915
197, 4.5897
198, 7.3297
199, 5.6306
200, 4.2541
201, 4.6089
202, 4.5383
203, 4.8086
204, 4.0130
205, 4.0905
206, 3.9758
207, 2.8362
208, 3.1218
209, 2.4300
210, 3.3074
211, 3.4029
212, 3.5334
213, 3.2046
214, 3.9376
215, 3.0199
216, 3.1688
217, 3.2266
218, 2.9786
219, 3.6000
220, 2.9812
221, 3.7737
222, 5.4015
223, 2.8064
224, 5.9116
225, 5.0533
226, 7.0628
227, 5.0013
228, 5.3817
229, 6.0361
230, 4.2017
231, 7.8101
232, 3.7236
233, 4.5012
234, 2.9962
235, 1.3179
236, 1.4198
237, 1.3637
238, 1.3571
239, 1.4120
240, 1.4698
241, 2.1073
242, 1.7851
243, 2.5403
244, 2.5750
245, 2.5039
246, 3.3638
247, 3.1605
248, 4.2053
249, 5.3675
250, 4.8748
251, 5.2149
252, 5.4743
253, 6.5971
254, 5.1448
255, 6.7993
256, 7.8103
257, 5.7984
258, 6.1341
259, 9.6952
260, 8.0644
261, 7.3216
262, 5.6181
263, 8.4493
264, 6.6256
265, 4.4709
266, 6.4414
267, 4.2823
268, 2.9932
269, 4.3882
270, 2.6638
271, 2.9709
272, 1.6696
273, 1.3662
274, 3.1296
275, 1.7754
276, 2.6157
277, 4.4881
278, 3.4818
279, 1.9945
280, 3.5216
281, 4.1846
282, 3.1205
283, 5.3823
284, 6.4054
285, 4.4934
286, 15.3845
287, 4.8879
288, 10.9110
289, 8.5119
290, 9.0394
291, 8.8615
292, 11.7434
293, 8.2519
294, 8.4986
295, 6.5032
296, 8.1597
297, 5.4133
298, 6.9695
299, 7.3159
300, 8.1947
301, 5.5617
302, 8.0668
303, 5.7298
304, 7.6537
305, 4.0801
306, 4.2811
307, 4.7860
308, 4.4952
309, 8.6600
310, 7.4132
311, 12.8363
312, 14.0015
313, 21.6606
314, 7.1747
315, 10.9762
316, 16.2297
317, 6.2893
318, 10.4956
319, 14.2467
320, 11.1473
321, 10.0491
322, 9.0324
323, 7.2922
324, 10.4103
325, 7.4326
326, 6.8919
327, 12.1082
328, 9.6381
329, 9.0729
330, 7.6203
331, 6.5686
332, 10.9326
333, 9.6986
334, 8.0091
335, 6.1574
336, 10.0800
337, 6.8718
338, 14.5950
339, 8.5429
340, 4.5635
341, 5.5382
342, 6.3750
343, 8.4488
344, 10.6644
345, 8.1268
346, 7.5760
347, 9.7295
348, 12.0507
349, 15.8534
350, 10.4210
351, 8.1404
352, 9.8161
353, 14.5956
354, 13.7832
355, 11.9390
356, 10.1885
357, 8.2965
358, 15.1036
359, 11.1476
360, 17.5131
361, 9.7932
362, 30.6470
363, 14.8386
364, 17.7686
365, 16.2339
366, 14.2822
367, 22.5304
368, 15.5734
369, 22.6596
370, 12.5277
371, 20.2055
372, 13.0757
373, 13.5770
374, 14.2694
375, 16.7720
376, 18.8117
377, 14.8638
378, 12.8072
379, 11.8782
380, 15.6353
381, 8.2766
382, 14.7352
383, 7.9232
384, 9.6664
385, 10.9760
386, 11.9707
387, 9.3222
388, 15.7281
389, 18.0692
390, 13.3919
391, 11.3688
392, 13.4766
393, 15.8077
394, 24.7978
395, 12.5022
396, 13.6496
397, 21.4230
398, 19.6919
399, 20.2671
400, 18.8968
401, 18.1901
402, 13.7868
403, 20.9909
404, 23.1923
405, 15.4053
406, 21.5693
407, 24.3197
408, 20.0832
409, 16.3249
410, 22.1328
411, 16.3586
412, 24.1923
413, 27.7762
414, 31.1805
415, 29.2791
416, 22.9772
417, 23.6105
418, 22.9239
419, 16.6966
420, 23.6249
421, 20.5208
422, 23.0145
423, 13.8719
424, 23.8198
425, 20.8529
426, 23.0647
427, 20.9419
428, 18.8579
429, 12.5034
430, 16.2949
431, 18.6415
432, 6.0984
433, 14.3017
434, 17.3896
435, 16.8391
436, 15.9779
437, 11.8056
438, 14.8981
439, 13.1554
440, 11.3759
441, 15.3856
442, 13.8457
443, 14.3176
444, 13.7237
445, 11.2228
446, 19.3797
447, 19.4180
448, 15.4559
449, 13.8518
450, 16.7664
451, 11.2606
452, 11.8579
453, 20.8670
454, 5.0290
455, 15.1247
456, 17.1207
457, 22.2417
458, 19.7585
459, 27.4984
460, 17.8467
461, 22.3110
462, 14.3875
463, 18.9879
464, 10.4718
465, 13.1379
466, 16.8814
467, 16.6720
468, 16.0880
469, 13.9871
470, 11.3405
471, 8.2596
472, 9.0852
473, 9.3829
474, 7.8466
475, 15.0620
476, 7.4933
477, 13.2205
478, 9.6072
479, 18.5516
480, 11.9085
481, 10.4383
482, 6.6949
483, 7.6825
484, 12.6279
485, 8.4813
486, 13.0973
487, 9.7887
488, 9.7116
489, 14.2537
490, 12.1694
491, 14.5356
492, 15.5030
493, 9.0390
494, 14.1476
495, 11.4242
496, 13.5177
497, 13.7149
498, 13.9508
499, 12.5759
500, 22.3320
501, 17.2143
502, 26.5760
503, 20.8440
504, 12.2874
505, 17.3690
506, 21.5800
507, 18.1993
508, 22.1188
509, 22.8458
510, 20.8430
511, 21.6085
512, 29.3949
513, 23.3034
514, 16.0120
515, 16.2548
516, 16.8506
517, 28.1527
518, 16.4424
519, 13.5914
520, 18.2404
521, 29.7685
522, 20.4531
523, 25.1825
524, 17.9006
525, 19.2721
526, 26.0847
527, 23.0510
528, 17.7456
529, 25.5722
530, 21.3856
531, 15.0474
532, 21.4637
533, 16.7226
534, 14.6045
535, 23.1882
536, 10.2533
537, 17.1135
538, 14.9639
539, 12.2070
540, 19.2620
541, 21.6154
542, 15.0534
543, 24.0254
544, 24.4932
545, 16.3405
546, 24.6607
547, 19.9030
548, 20.1636
549, 29.6736
550, 30.1744
551, 22.4578
552, 29.4209
553, 29.7040
554, 21.4915
555, 27.4122
556, 24.1917
557, 28.5348
558, 27.6640
559, 24.7277
560, 23.5923
561, 25.5320
562, 19.0499
563, 17.3272
564, 23.2132
565, 33.5233
566, 22.4621
567, 20.9147
568, 19.2799
569, 19.5844
570, 15.7441
571, 19.5523
572, 26.3646
573, 27.8052
574, 17.7454
575, 11.8163
576, 19.7663
577, 16.9109
578, 11.6261
579, 18.8344
580, 15.7306
581, 20.5258
582, 17.7822
583, 22.5107
584, 15.4784
585, 18.1588
586, 22.1123
587, 23.1483
588, 16.8937
589, 29.4367
590, 11.0928
591, 16.2335
592, 10.8180
593, 39.2577
594, 27.1802
595, 27.5058
596, 22.0848
597, 12.7207
598, 25.4300
599, 24.7534
600, 26.2692
601, 23.7713
602, 23.5089
603, 21.2718
604, 19.2271
605, 26.4563
606, 17.6791
607, 26.8350
608, 30.2322
609, 23.9640
610, 18.8665
611, 25.2133
612, 22.2550
613, 20.6542
614, 17.3936
615, 22.7990
616, 14.3075
617, 14.3875
618, 16.0710
619, 14.4201
620, 17.3084
621, 18.9828
622, 12.5217
623, 32.0470
624, 22.4956
625, 22.2556
626, 19.3944
627, 18.4816
628, 26.6561
629, 19.3034
630, 31.9780
631, 22.8092
632, 22.0224
633, 18.2807
634, 23.9864
635, 21.7851
636, 33.2751
637, 22.1966
638, 21.3135
639, 35.3154
640, 28.1516
641, 26.5805
642, 23.5895
643, 33.1877
644, 30.5265
645, 34.4181
646, 31.8233
647, 23.5824
648, 29.4720
649, 35.8113
650, 19.9030
651, 29.6292
652, 26.6641
653, 31.7672
