# Episodio, Score
0, -131.28
1, -121.53
2, -281.55
3, -458.65
4, -150.34
5, -232.19
6, -175.09
7, -83.83
8, -159.58
9, -63.97
10, -199.43
11, -108.19
12, -192.87
13, -405.58
14, -100.58
15, -340.88
16, -104.79
17, -242.35
18, -249.07
19, -98.28
20, -355.46
21, -92.21
22, -221.34
23, -135.37
24, -159.61
25, -305.31
26, -202.71
27, -96.00
28, -398.31
29, -117.29
30, -124.88
31, -96.14
32, -110.14
33, -89.31
34, -52.60
35, -151.27
36, -95.54
37, -67.69
38, -108.58
39, -120.89
40, -70.42
41, -18.64
42, -380.17
43, -119.76
44, -267.29
45, -172.16
46, -95.64
47, -20.12
48, -199.10
49, -276.92
50, -147.04
51, -145.00
52, -164.11
53, -143.75
54, -104.41
55, -72.38
56, -179.76
57, -59.75
58, -157.97
59, -45.63
60, -99.33
61, -160.80
62, -112.19
63, -143.80
64, -47.61
65, -78.93
66, -93.77
67, -122.42
68, -132.81
69, -158.61
70, -120.89
71, -67.91
72, -40.35
73, -93.54
74, -121.46
75, -69.54
76, -141.71
77, -267.38
78, -131.05
79, -136.82
80, -67.32
81, -75.30
82, -132.30
83, -98.27
84, -109.41
85, -227.90
86, -71.85
87, -94.29
88, -101.82
89, -49.05
90, -101.10
91, -71.94
92, -146.15
93, -69.57
94, -102.73
95, -125.43
96, -85.71
97, -115.20
98, -65.04
99, -15.87
100, -114.05
101, -51.98
102, -65.25
103, -40.44
104, -51.68
105, -100.83
106, -17.51
107, -100.97
108, -59.52
109, -67.12
110, -254.81
111, -141.02
112, -101.31
113, -2.86
114, -126.64
115, -111.69
116, -144.05
117, -91.33
118, -81.94
119, -12.37
120, -52.83
121, -156.39
122, -129.19
123, -37.80
124, -60.29
125, -389.73
126, -47.63
127, -31.16
128, -69.44
129, -168.98
130, -25.25
131, -140.04
132, -59.70
133, -114.74
134, -40.98
135, -131.14
136, -55.00
137, -263.49
138, -157.08
139, -13.85
140, -149.86
141, -73.40
142, -22.60
143, -48.49
144, -18.76
145, -1.12
146, -22.58
147, -121.58
148, -391.22
149, -333.48
150, -55.86
151, -136.10
152, -39.89
153, -154.40
154, -50.11
155, -70.88
156, -79.32
157, -54.50
158, -72.63
159, -29.36
160, -230.83
161, -136.97
162, -142.55
163, -115.88
164, -77.16
165, -52.10
166, -118.10
167, -74.49
168, -122.05
169, -222.02
170, -17.13
171, -4.84
172, -25.95
173, -76.95
174, -116.15
175, -241.02
176, -134.28
177, -211.38
178, -61.17
179, 10.56
180, -167.22
181, -14.81
182, -147.40
183, -73.56
184, -105.39
185, -59.47
186, -52.09
187, -83.12
188, -281.51
189, -10.02
190, -72.52
191, -135.84
192, -85.51
193, -111.01
194, -162.89
195, -120.85
196, -211.32
197, -190.94
198, -125.29
199, -128.16
200, -105.07
201, -199.64
202, -399.77
203, -1.29
204, -131.70
205, -338.42
206, -185.67
207, -28.13
208, -82.73
209, -5.66
210, -99.10
211, -169.54
212, -140.43
213, -72.82
214, -90.24
215, -99.19
216, -7.54
217, -172.58
218, -69.44
219, -139.00
220, -239.28
221, 186.68
222, -95.47
223, -177.92
224, 114.81
225, -122.20
226, -10.95
227, -117.43
228, -152.99
229, -73.44
230, -148.88
231, -78.16
232, -132.26
233, -87.52
234, -50.43
235, -115.83
236, -48.17
237, -33.61
238, -142.07
239, -159.44
240, -38.93
241, -21.78
242, -21.55
243, -160.83
244, 22.82
245, -97.75
246, 138.91
247, 118.69
248, -147.52
249, -37.74
250, -178.31
251, -22.95
252, -78.15
253, -112.12
254, 86.26
255, -294.59
256, 17.33
257, -141.08
258, -253.81
259, 8.62
260, -79.71
261, 4.39
262, -316.97
