# Episodio, Score_Promedio_50ep
49, -172.42
50, -172.73
51, -173.20
52, -170.85
53, -164.56
54, -163.64
55, -160.44
56, -160.53
57, -160.05
58, -160.02
59, -159.65
60, -157.65
61, -158.70
62, -157.09
63, -151.86
64, -150.80
65, -145.56
66, -145.34
67, -142.94
68, -140.61
69, -141.82
70, -137.13
71, -136.64
72, -133.02
73, -132.19
74, -131.42
75, -126.71
76, -125.49
77, -128.91
78, -123.57
79, -123.96
80, -122.81
81, -122.39
82, -122.84
83, -123.01
84, -124.15
85, -125.68
86, -125.21
87, -125.74
88, -125.61
89, -124.17
90, -124.78
91, -125.85
92, -121.17
93, -120.16
94, -116.87
95, -115.94
96, -115.74
97, -117.64
98, -114.96
99, -109.74
100, -109.08
101, -107.22
102, -105.24
103, -103.18
104, -102.12
105, -102.69
106, -99.44
107, -100.27
108, -98.30
109, -98.73
110, -101.84
111, -101.44
112, -101.23
113, -98.41
114, -99.99
115, -100.64
116, -101.65
117, -101.03
118, -100.01
119, -97.08
120, -95.72
121, -97.49
122, -99.27
123, -98.15
124, -96.93
125, -103.34
126, -101.45
127, -96.73
128, -95.50
129, -96.14
130, -95.30
131, -96.59
132, -95.14
133, -95.47
134, -94.10
135, -92.17
136, -91.83
137, -95.21
138, -96.32
139, -95.62
140, -96.59
141, -96.62
142, -94.15
143, -93.73
144, -92.05
145, -89.56
146, -88.30
147, -88.43
148, -94.95
149, -101.30
150, -100.14
151, -101.82
152, -101.31
153, -103.59
154, -103.56
155, -102.96
156, -104.20
157, -103.27
158, -103.53
159, -102.78
160, -102.30
161, -102.22
162, -103.04
163, -105.30
164, -104.31
165, -103.12
166, -102.60
167, -102.26
168, -103.07
169, -107.26
170, -106.55
171, -103.52
172, -101.45
173, -102.23
174, -103.35
175, -100.38
176, -102.11
177, -105.71
178, -105.55
179, -101.96
180, -104.80
181, -102.29
182, -104.05
183, -103.22
184, -104.51
185, -103.08
186, -103.02
187, -99.41
188, -101.90
189, -101.82
190, -100.28
191, -101.53
192, -102.78
193, -104.03
194, -106.92
195, -109.31
196, -113.09
197, -114.47
198, -109.16
199, -105.05
200, -106.03
201, -107.30
202, -114.50
203, -111.44
204, -113.07
205, -118.42
206, -120.55
207, -120.02
208, -120.22
209, -119.75
210, -117.11
211, -117.77
212, -117.72
213, -116.86
214, -117.12
215, -118.07
216, -115.85
217, -117.82
218, -116.76
219, -115.10
220, -119.55
221, -115.72
222, -117.11
223, -119.13
224, -114.51
225, -112.13
226, -109.66
227, -107.79
228, -109.62
229, -111.30
230, -110.93
231, -112.20
232, -111.90
233, -112.18
234, -111.08
235, -112.21
236, -112.13
237, -111.14
238, -108.35
239, -111.34
240, -110.66
241, -108.38
242, -107.10
243, -108.10
244, -104.39
245, -103.92
246, -96.92
247, -90.73
248, -91.17
249, -89.36
250, -90.83
251, -87.30
252, -80.86
253, -83.08
254, -78.72
255, -77.84
256, -73.78
257, -76.04
258, -79.46
259, -79.18
260, -78.79
261, -75.31
262, -78.84
263, -77.93
264, -75.00
265, -72.72
266, -70.73
267, -69.76
268, -68.91
269, -66.31
270, -64.79
271, -66.47
272, -64.19
273, -61.96
274, -64.51
275, -63.60
276, -63.10
277, -62.34
278, -59.94
279, -53.57
280, -53.63
281, -48.04
282, -47.22
283, -45.51
284, -44.55
285, -48.10
286, -48.00
287, -50.97
288, -48.30
289, -42.24
290, -39.18
291, -43.77
292, -42.59
293, -35.44
294, -34.29
295, -29.35
296, -32.37
297, -35.39
298, -31.65
299, -34.00
300, -30.87
301, -29.70
302, -30.22
303, -29.41
304, -28.79
305, -23.71
306, -19.68
307, -14.67
308, -11.89
309, -9.16
310, -6.04
311, -4.41
312, 2.02
313, 1.39
314, 0.45
315, 1.68
316, 2.32
317, 9.50
318, 9.67
319, 11.51
320, 14.42
321, 11.07
322, 12.39
323, 15.82
324, 14.90
325, 16.36
326, 19.73
327, 25.22
328, 29.10
329, 26.33
330, 30.06
331, 29.37
332, 32.91
333, 33.13
334, 34.99
335, 43.80
336, 44.32
337, 47.18
338, 51.87
339, 47.88
340, 49.02
341, 55.38
342, 58.86
343, 56.76
344, 54.24
345, 54.86
346, 57.36
347, 57.49
348, 57.46
349, 63.79
350, 65.57
351, 66.14
352, 66.85
353, 71.71
354, 68.78
355, 73.83
356, 73.40
357, 73.35
358, 78.53
359, 79.25
360, 81.86
361, 82.14
362, 82.00
363, 88.58
364, 87.97
365, 84.88
366, 86.14
367, 85.12
368, 90.28
369, 89.07
370, 87.49
371, 89.55
372, 92.01
373, 93.14
374, 98.42
375, 100.56
376, 99.83
377, 96.44
378, 94.51
379, 93.49
380, 94.46
381, 89.13
382, 86.17
383, 88.86
384, 89.98
385, 86.23
386, 91.16
387, 96.65
388, 95.13
389, 100.46
390, 95.76
391, 97.09
392, 96.16
393, 97.96
394, 103.04
