# Episodio, Score
0, -92.63
1, -291.81
2, -187.56
3, -154.87
4, -112.35
5, -53.96
6, -128.08
7, -327.59
8, -208.57
9, -94.64
10, -147.60
11, -135.95
12, -381.16
13, -284.82
14, -75.33
15, -277.88
16, -130.39
17, -88.69
18, -3.78
19, -203.81
20, -231.31
21, -189.29
22, -59.74
23, -361.36
24, -285.23
25, -209.78
26, 18.78
27, -253.29
28, -100.82
29, -109.78
30, -304.20
31, -98.56
32, -80.89
33, -157.80
34, -283.76
35, -226.59
36, -122.58
37, -136.96
38, -203.92
39, -49.11
40, -12.80
41, -124.23
42, -47.98
43, -106.66
44, -51.42
45, -172.88
46, -118.31
47, -250.46
48, -364.42
49, -90.09
50, -182.43
51, -264.47
52, -117.88
53, -227.73
54, -143.07
55, -59.82
56, -211.91
57, -45.86
58, -343.17
59, -114.84
60, -110.77
61, -127.96
62, -65.02
63, -191.22
64, -98.12
65, -168.13
66, -236.66
67, -117.13
68, -89.96
69, -158.10
70, -143.72
71, -72.39
72, -102.27
73, -14.10
74, -117.74
75, -90.37
76, -185.62
77, -96.20
78, -123.70
79, -136.00
80, -109.82
81, -82.20
82, -117.07
83, -225.77
84, -144.63
85, -68.41
86, -306.11
87, -189.36
88, -102.80
89, -136.68
90, -71.19
91, -113.10
92, -43.88
93, -62.03
94, -69.98
95, -58.42
96, -84.04
97, -108.20
98, -117.77
99, -128.69
100, -69.74
101, -105.87
102, -82.43
103, -61.47
104, -63.37
105, -140.11
106, -73.91
107, -43.40
108, -229.95
109, -86.90
110, -141.42
111, -39.13
112, -88.07
113, -94.10
114, -122.92
115, -81.46
116, -91.34
117, -117.16
118, -57.16
119, -77.84
120, -70.12
121, -123.74
122, -68.59
123, -118.08
124, -163.85
125, -96.70
126, -183.02
127, -109.54
128, -246.13
129, -62.33
130, -87.69
131, -54.08
132, -78.00
133, -62.32
134, -98.26
135, -93.82
136, -66.84
137, -67.39
138, -53.95
139, -88.17
140, -109.15
141, -71.36
142, -88.26
143, -67.45
144, -74.84
145, -60.00
146, -127.44
147, -117.50
148, -52.14
149, -6.98
150, -43.21
151, -97.25
152, -76.82
153, -25.51
154, -88.93
155, -18.90
156, -8.64
157, -78.55
158, -104.93
159, -83.65
160, -49.77
161, -59.12
162, -62.60
163, -76.89
164, -91.45
165, -81.94
166, -74.91
167, 15.55
168, -98.01
169, -20.99
170, -181.54
171, -116.16
172, -66.80
173, -86.19
174, -92.91
175, -79.60
176, -5.55
177, -36.99
178, -59.75
179, -63.91
180, -51.81
181, -63.30
182, -66.06
183, -42.85
184, -25.56
185, -79.38
186, -52.55
187, -162.57
188, -106.98
189, -23.42
190, -100.19
191, -52.44
192, -45.43
193, -65.84
194, -20.53
195, 25.63
196, -61.01
197, -39.97
198, -95.75
199, -48.89
200, -51.75
201, -73.51
202, -70.83
203, -71.37
204, -58.90
205, -56.75
206, -64.99
207, -39.58
208, -15.15
209, -15.77
210, -64.92
211, -59.75
212, -83.74
213, -19.69
214, -38.31
215, -51.72
216, -204.19
217, -44.13
218, -74.01
219, -47.43
220, -45.95
221, -62.63
222, -82.51
223, -88.23
224, -36.64
225, -78.96
226, -67.38
227, -113.75
228, -15.95
229, -156.72
230, -55.94
231, -61.35
232, -96.94
233, -70.22
234, -57.51
235, -62.05
236, -60.12
237, -74.43
238, -216.78
239, -75.25
240, -82.71
241, -6.76
242, -71.15
243, -93.82
244, -134.38
245, -90.34
246, -89.81
247, -43.97
248, -18.36
249, -12.01
250, -96.27
251, -79.49
252, -57.88
253, -39.10
254, -24.73
255, -66.62
256, -94.64
257, -79.07
258, -85.76
259, -62.41
260, -24.02
261, -102.32
262, -43.91
263, -70.38
264, -71.14
265, -76.97
266, -88.50
267, -42.41
268, -57.77
269, -70.09
270, -37.09
271, -47.72
272, -60.05
273, -32.27
274, -146.48
275, 3.44
276, -47.14
277, -28.08
278, -117.21
279, -51.19
280, -26.15
281, -30.03
282, -90.44
283, -19.36
284, -57.17
285, -170.68
286, -33.85
287, -274.01
288, 33.59
289, -274.97
290, -61.24
291, -67.63
292, -39.76
293, -32.21
294, -51.10
295, -78.78
296, -53.09
297, -104.77
298, -75.22
299, -67.36
300, -40.23
301, -16.00
302, -42.86
303, -55.66
304, -27.11
305, -26.15
306, -82.33
307, -69.55
308, 26.77
309, -71.64
310, -49.77
311, -93.07
312, -63.83
313, -35.87
314, -8.08
315, -65.39
316, -83.77
317, -45.29
318, -58.09
319, -60.91
320, -100.47
321, 1.71
322, -60.52
323, -28.39
324, 35.30
325, -40.04
326, -23.60
327, -68.15
328, -42.82
329, -40.09
330, -186.68
331, -34.79
332, -48.40
333, -373.22
334, -451.11
335, -48.86
336, 7.81
337, -55.45
338, -164.33
339, -62.37
340, -222.71
341, -19.57
342, -75.13
343, 10.34
344, -58.16
345, -49.71
346, -78.62
347, -14.24
348, -182.41
349, 7.21
350, 16.47
351, -34.85
352, -42.48
353, -31.35
354, -109.95
355, -50.65
356, -84.16
357, -31.50
358, -4.20
359, -210.05
360, -12.60
361, -48.67
362, -17.76
363, -134.03
364, -44.12
365, 20.32
366, 16.48
367, -24.91
368, -7.34
369, -66.81
370, -17.04
371, -16.83
372, 13.90
373, -131.52
374, -67.64
375, -107.07
376, -19.02
377, 23.73
378, 17.68
379, -49.08
380, -187.85
381, -31.47
382, -40.09
383, -102.72
384, -43.30
385, -35.32
386, -92.59
387, -51.93
388, -17.09
389, 9.43
390, -17.76
391, -153.72
392, 4.29
393, 3.82
394, -36.85
395, -184.96
396, -110.40
397, -41.78
398, -11.81
399, -69.57
400, -58.23
401, 2.25
402, -28.23
403, -6.57
404, -85.17
405, -47.55
406, 28.70
407, -85.85
408, -126.24
409, -139.72
410, -42.12
411, -22.71
412, -102.96
413, -240.66
414, -109.96
415, -83.94
416, -96.59
417, -2.13
418, -57.64
419, -101.22
420, -74.00
421, 1.82
422, -210.58
423, -38.63
424, -71.93
425, -30.79
426, -71.41
427, -94.49
428, -67.68
429, -72.72
430, -97.27
431, -150.25
