# Episodio, Score_Promedio_50ep
49, -163.34
50, -165.13
51, -164.59
52, -163.19
53, -164.65
54, -165.27
55, -165.38
56, -167.06
57, -161.42
58, -164.12
59, -164.52
60, -163.78
61, -163.62
62, -157.30
63, -155.43
64, -155.89
65, -153.69
66, -155.82
67, -156.38
68, -158.11
69, -157.19
70, -155.44
71, -153.10
72, -153.95
73, -147.01
74, -143.66
75, -141.27
76, -145.36
77, -142.22
78, -142.68
79, -143.20
80, -139.31
81, -138.99
82, -139.71
83, -141.07
84, -138.29
85, -135.12
86, -138.79
87, -139.84
88, -137.82
89, -139.57
90, -140.74
91, -140.51
92, -140.43
93, -139.54
94, -139.91
95, -137.62
96, -136.94
97, -134.09
98, -129.16
99, -129.93
100, -127.68
101, -124.50
102, -123.80
103, -120.47
104, -118.88
105, -120.48
106, -117.72
107, -117.67
108, -115.41
109, -114.85
110, -115.46
111, -113.69
112, -114.15
113, -112.20
114, -112.70
115, -110.97
116, -108.06
117, -108.06
118, -107.41
119, -105.80
120, -104.33
121, -105.36
122, -104.68
123, -106.76
124, -107.68
125, -107.81
126, -107.76
127, -108.03
128, -110.47
129, -109.00
130, -108.56
131, -108.00
132, -107.21
133, -103.94
134, -103.02
135, -103.53
136, -98.74
137, -96.30
138, -95.32
139, -94.35
140, -95.11
141, -94.28
142, -95.17
143, -95.27
144, -95.37
145, -95.40
146, -96.27
147, -96.46
148, -95.14
149, -92.71
150, -92.18
151, -92.01
152, -91.89
153, -91.18
154, -91.69
155, -89.26
156, -87.96
157, -88.66
158, -86.16
159, -86.09
160, -84.26
161, -84.66
162, -84.15
163, -83.81
164, -83.18
165, -83.19
166, -82.86
167, -80.21
168, -81.02
169, -79.89
170, -82.11
171, -81.96
172, -81.93
173, -81.29
174, -79.87
175, -79.53
176, -75.98
177, -74.53
178, -70.80
179, -70.83
180, -70.11
181, -70.30
182, -70.06
183, -69.67
184, -68.22
185, -67.93
186, -67.64
187, -69.55
188, -70.61
189, -69.31
190, -69.13
191, -68.75
192, -67.90
193, -67.86
194, -66.78
195, -65.07
196, -63.74
197, -62.19
198, -63.06
199, -63.90
200, -64.07
201, -63.59
202, -63.47
203, -64.39
204, -63.79
205, -64.55
206, -65.67
207, -64.89
208, -63.10
209, -61.74
210, -62.04
211, -62.06
212, -62.48
213, -61.34
214, -60.27
215, -59.67
216, -62.25
217, -63.45
218, -62.97
219, -63.50
220, -60.78
221, -59.71
222, -60.03
223, -60.07
224, -58.94
225, -58.93
226, -60.17
227, -61.70
228, -60.83
229, -62.68
230, -62.76
231, -62.73
232, -63.34
233, -63.89
234, -64.53
235, -64.18
236, -64.33
237, -62.57
238, -64.77
239, -65.80
240, -65.45
241, -64.54
242, -65.06
243, -65.62
244, -67.89
245, -70.21
246, -70.79
247, -70.87
248, -69.32
249, -68.58
250, -69.47
251, -69.59
252, -69.33
253, -68.69
254, -68.00
255, -68.20
256, -68.79
257, -69.58
258, -71.00
259, -71.93
260, -71.11
261, -71.96
262, -71.17
263, -72.18
264, -72.84
265, -73.34
266, -71.03
267, -70.99
268, -70.67
269, -71.12
270, -70.94
271, -70.65
272, -70.20
273, -69.08
274, -71.28
275, -69.63
276, -69.22
277, -67.51
278, -69.53
279, -67.42
280, -66.83
281, -66.20
282, -66.07
283, -65.05
284, -65.05
285, -67.22
286, -66.69
287, -70.69
288, -65.68
289, -69.67
290, -69.24
291, -70.46
292, -69.83
293, -68.60
294, -66.94
295, -66.70
296, -65.97
297, -67.19
298, -68.32
299, -69.43
300, -68.31
301, -67.04
302, -66.74
303, -67.07
304, -67.12
305, -66.31
306, -66.06
307, -65.87
308, -63.62
309, -63.81
310, -64.32
311, -64.14
312, -64.53
313, -63.84
314, -62.58
315, -62.35
316, -62.26
317, -62.31
318, -62.32
319, -62.14
320, -63.40
321, -62.42
322, -62.42
323, -62.35
324, -58.71
325, -59.58
326, -59.11
327, -59.91
328, -58.42
329, -58.20
330, -61.41
331, -61.51
332, -60.67
333, -67.74
334, -75.62
335, -73.19
336, -72.35
337, -67.98
338, -71.94
339, -67.69
340, -70.92
341, -69.96
342, -70.66
343, -69.81
344, -69.95
345, -69.37
346, -69.88
347, -68.07
348, -70.22
349, -68.73
350, -67.59
351, -67.97
352, -67.96
353, -67.47
354, -69.13
355, -69.62
356, -69.66
357, -68.90
358, -69.52
359, -72.28
360, -71.54
361, -70.65
362, -69.73
363, -71.69
364, -72.42
365, -70.70
366, -68.70
367, -68.29
368, -67.27
369, -67.39
370, -65.72
371, -66.09
372, -64.61
373, -66.67
374, -68.73
375, -70.07
376, -69.98
377, -68.14
378, -66.93
379, -67.11
380, -67.13
381, -67.07
382, -66.90
383, -61.49
384, -53.33
385, -53.06
386, -55.07
387, -55.00
388, -52.06
389, -50.62
390, -46.52
391, -49.20
392, -47.61
393, -47.75
394, -47.32
395, -50.02
396, -50.66
397, -51.21
398, -47.80
399, -49.33
400, -50.83
401, -50.09
402, -49.80
403, -49.31
404, -48.81
405, -48.75
406, -46.49
407, -47.58
408, -50.02
409, -48.61
410, -49.20
411, -48.68
412, -50.39
413, -52.52
414, -53.84
415, -55.92
416, -58.18
417, -57.73
418, -58.73
419, -59.42
420, -60.56
421, -60.19
422, -64.68
423, -62.82
424, -62.91
425, -61.38
426, -62.43
427, -64.79
428, -66.50
429, -66.97
430, -65.16
431, -67.54
432, -68.19
433, -72.34
434, -71.15
435, -70.99
436, -69.96
437, -69.00
438, -69.37
439, -69.57
440, -66.25
441, -63.02
442, -63.67
443, -63.80
444, -63.76
445, -61.82
446, -59.16
447, -59.14
448, -59.37
449, -58.40
450, -57.25
451, -57.72
452, -58.45
453, -59.59
454, -58.37
455, -58.18
456, -59.32
457, -58.73
458, -56.90
459, -54.43
460, -54.38
461, -53.11
462, -50.97
463, -44.42
464, -42.55
465, -40.15
466, -40.54
467, -39.56
468, -36.91
469, -35.52
470, -32.29
471, -33.37
472, -29.99
473, -29.76
474, -28.65
475, -28.00
476, -27.24
477, -25.08
478, -22.27
479, -20.39
480, -17.07
481, -14.43
482, -14.06
483, -8.65
484, -7.03
485, -6.85
486, -6.57
487, -7.30
488, -6.39
489, -7.40
490, -10.56
491, -11.13
492, -8.08
493, -6.85
494, -4.60
495, 2.64
496, 0.92
497, 3.79
498, 6.26
499, 6.02
500, 7.63
501, 12.50
502, 12.10
503, 15.11
504, 15.87
505, 19.21
506, 19.50
507, 20.93
508, 21.04
509, 20.86
510, 23.66
511, 22.86
512, 24.17
513, 23.48
514, 23.88
515, 23.10
516, 24.91
517, 26.64
518, 26.93
519, 27.96
520, 26.38
521, 27.65
522, 30.21
523, 31.92
524, 34.25
525, 33.54
526, 34.55
527, 33.79
528, 33.95
529, 35.24
530, 32.95
531, 35.23
532, 37.31
533, 39.75
534, 39.52
535, 41.12
536, 42.10
537, 43.07
538, 43.16
539, 43.71
540, 45.76
541, 46.54
542, 43.95
543, 43.01
544, 41.17
545, 35.72
546, 40.25
547, 43.40
548, 41.84
549, 46.47
550, 46.99
551, 41.79
552, 44.12
553, 42.97
554, 42.50
555, 38.71
556, 38.49
557, 40.17
558, 42.05
559, 43.19
560, 41.65
561, 41.62
562, 40.36
563, 40.33
564, 41.45
565, 41.42
566, 43.10
567, 43.85
568, 43.79
569, 45.21
570, 46.37
571, 48.10
572, 46.01
573, 46.40
574, 45.05
575, 45.21
576, 49.55
577, 52.43
578, 51.70
579, 49.02
580, 51.36
581, 48.91
582, 47.62
583, 47.91
584, 45.56
585, 47.85
586, 46.73
587, 45.75
588, 44.60
589, 49.94
590, 47.54
591, 46.42
592, 48.70
593, 50.40
594, 50.81
595, 54.73
596, 52.85
597, 49.34
598, 50.49
599, 46.11
600, 48.33
601, 46.25
602, 47.55
603, 47.11
604, 48.84
605, 48.73
606, 50.55
607, 50.21
608, 51.67
609, 51.21
610, 49.49
611, 50.62
612, 50.95
613, 49.49
614, 49.01
615, 51.19
616, 49.42
617, 48.49
618, 48.71
619, 46.85
620, 47.25
621, 45.71
622, 45.41
623, 44.20
624, 43.95
625, 47.12
626, 42.20
627, 41.46
628, 42.15
629, 43.35
630, 42.03
631, 42.14
632, 44.97
633, 43.49
634, 43.86
635, 41.06
636, 43.78
637, 49.49
638, 51.00
639, 45.86
640, 46.03
641, 46.73
642, 45.01
643, 42.52
644, 42.54
645, 39.32
646, 41.37
647, 39.88
648, 38.67
649, 40.83
650, 36.35
651, 41.49
652, 39.72
653, 44.83
654, 45.45
655, 45.93
656, 49.00
657, 47.95
658, 46.84
659, 46.82
660, 48.48
661, 47.68
662, 49.24
663, 49.70
664, 51.55
665, 49.91
666, 54.22
667, 54.21
668, 56.56
669, 56.82
670, 56.86
671, 56.09
672, 57.72
673, 61.39
674, 60.83
675, 59.32
676, 61.71
677, 60.11
678, 59.43
679, 60.80
680, 59.86
681, 62.09
682, 59.35
683, 63.84
684, 65.00
685, 65.14
686, 63.35
687, 60.75
688, 60.24
689, 61.21
690, 61.74
691, 66.08
692, 67.96
693, 69.41
694, 70.14
695, 74.42
696, 70.99
697, 75.74
698, 80.40
699, 79.65
700, 81.71
701, 78.96
702, 79.03
703, 73.85
704, 72.36
705, 75.79
706, 71.50
707, 71.57
708, 72.34
709, 77.60
710, 79.60
711, 80.58
712, 80.63
713, 84.67
714, 85.43
715, 85.41
716, 83.86
717, 80.41
718, 80.74
719, 83.01
720, 85.23
721, 86.43
722, 86.75
723, 87.38
724, 89.84
725, 93.99
726, 92.59
727, 97.35
728, 98.45
729, 99.07
730, 104.74
731, 103.30
732, 103.22
733, 100.34
734, 103.62
735, 104.02
736, 104.43
737, 102.88
738, 103.09
739, 102.61
740, 107.36
741, 105.59
742, 107.20
743, 106.73
744, 105.28
745, 102.29
746, 105.28
747, 100.77
748, 100.37
749, 104.40
750, 104.04
751, 108.67
752, 108.80
753, 112.29
754, 116.21
755, 114.22
756, 116.44
757, 116.17
758, 118.62
759, 113.23
760, 110.53
761, 109.98
762, 107.65
763, 105.23
764, 103.53
765, 108.56
766, 106.85
767, 108.41
768, 103.65
769, 99.87
770, 95.77
771, 99.35
772, 100.82
773, 98.39
774, 100.34
775, 94.90
776, 94.40
777, 91.14
778, 93.41
779, 93.11
780, 92.94
781, 96.90
782, 100.03
783, 98.28
784, 96.76
785, 95.88
786, 95.48
787, 96.43
788, 100.98
789, 104.99
790, 104.80
791, 107.20
792, 108.13
793, 111.59
794, 116.50
795, 109.98
796, 109.81
797, 114.75
798, 112.80
799, 112.15
800, 111.75
801, 107.69
802, 110.95
803, 112.29
804, 112.65
805, 115.92
806, 118.16
807, 120.12
808, 116.84
809, 122.02
810, 119.83
811, 124.06
812, 128.41
813, 126.91
814, 130.08
815, 126.00
816, 130.51
817, 129.44
818, 134.60
819, 138.52
820, 139.47
821, 135.94
822, 134.83
823, 132.58
824, 132.23
825, 136.80
826, 138.42
827, 141.26
828, 138.93
829, 142.14
830, 142.58
831, 142.09
832, 141.93
833, 141.51
834, 138.72
835, 139.34
836, 143.42
837, 141.59
838, 141.21
839, 139.44
840, 139.17
841, 133.31
842, 130.49
843, 127.31
844, 128.15
845, 133.52
846, 131.28
847, 124.94
848, 127.76
849, 127.73
850, 126.31
851, 128.98
852, 125.59
853, 120.81
854, 120.93
855, 120.84
856, 116.06
857, 115.21
858, 114.57
859, 110.60
860, 113.11
861, 111.54
862, 112.41
863, 112.70
864, 110.64
865, 113.91
866, 112.79
867, 116.70
868, 116.33
869, 118.87
870, 122.50
871, 121.86
872, 120.71
873, 120.53
874, 116.88
875, 116.61
876, 117.68
877, 118.37
878, 121.05
879, 120.92
880, 120.01
881, 121.09
882, 121.44
883, 127.06
884, 131.82
885, 135.64
886, 134.76
887, 139.97
888, 140.16
889, 142.21
890, 142.02
891, 147.79
892, 150.19
893, 152.24
894, 151.98
895, 151.49
896, 155.27
897, 160.01
898, 158.01
899, 159.29
900, 163.43
901, 164.84
902, 169.02
903, 173.47
904, 172.58
905, 173.83
906, 178.66
907, 182.15
908, 186.16
909, 185.30
910, 190.39
911, 186.90
912, 183.09
913, 187.46
914, 189.71
915, 188.27
916, 185.25
917, 185.35
918, 185.22
919, 184.32
920, 184.33
921, 188.69
922, 192.81
923, 195.74
924, 199.44
925, 199.68
926, 201.45
927, 200.87
928, 196.89
929, 191.52
930, 187.19
931, 185.04
932, 186.40
933, 185.08
934, 185.02
935, 185.11
936, 184.91
937, 175.39
938, 175.69
939, 175.85
940, 174.94
941, 170.14
942, 169.49
943, 169.66
944, 165.65
945, 167.10
946, 167.54
947, 168.27
948, 167.44
949, 167.05
950, 166.93
951, 163.41
952, 164.21
953, 164.99
954, 165.90
955, 160.60
956, 160.18
957, 159.99
958, 154.72
959, 159.59
960, 155.03
961, 160.17
962, 162.30
963, 160.28
964, 160.27
965, 161.70
966, 161.08
967, 162.46
968, 155.64
969, 151.13
970, 150.35
971, 148.92
