# Episodio, Loss
348, 21.7403
349, 20.1378
350, 28.4942
351, 23.0022
352, 19.6999
353, 16.1475
354, 22.3299
355, 33.5534
356, 20.6660
357, 21.0256
358, 18.9509
359, 20.3473
360, 23.1099
361, 20.4284
362, 22.6513
363, 23.9285
364, 33.1518
365, 14.2291
366, 29.6475
367, 19.0114
368, 24.0057
369, 24.0012
370, 17.7805
371, 22.3069
372, 23.2721
373, 26.5197
374, 20.7166
375, 27.7392
376, 25.2409
377, 22.3300
378, 26.0671
379, 31.5511
380, 21.1078
381, 28.9133
382, 28.9759
383, 28.6043
384, 35.8166
385, 28.5091
386, 26.4172
387, 27.2072
388, 31.0621
389, 27.4799
390, 26.1042
391, 30.9394
392, 26.9582
393, 29.0392
394, 31.2155
395, 31.1871
396, 31.9610
397, 23.3152
398, 43.4014
399, 25.9586
400, 24.9485
401, 21.1419
402, 37.0770
403, 35.6331
404, 29.7570
405, 25.2347
406, 28.4836
407, 21.3363
408, 29.8607
409, 33.3332
410, 23.1040
411, 25.9884
412, 33.7235
413, 22.2326
414, 26.8413
415, 18.6132
416, 27.7574
417, 38.6021
418, 33.9866
419, 28.2531
420, 27.0948
421, 15.0937
422, 25.7957
423, 24.6978
424, 16.7150
425, 20.6783
426, 21.6872
427, 17.7694
428, 16.2373
429, 14.5526
430, 17.5081
431, 14.8189
432, 14.3424
433, 15.6125
434, 16.9913
435, 16.4800
436, 18.4250
437, 19.1707
438, 14.9594
439, 18.4242
440, 16.0835
441, 14.9308
442, 19.8160
443, 17.2198
444, 12.3921
445, 17.8382
446, 17.0859
447, 14.0572
448, 14.3333
449, 17.3357
450, 14.4848
451, 17.3628
452, 10.9436
453, 14.7944
454, 13.5085
455, 13.1645
456, 14.1729
457, 11.6387
458, 15.6157
459, 14.2404
460, 22.2424
461, 11.5144
462, 14.5951
463, 13.7378
464, 13.3163
465, 14.7042
466, 13.7153
467, 13.5468
468, 10.0791
469, 12.3617
470, 13.2352
471, 11.1677
472, 8.7222
473, 7.1172
474, 9.3569
475, 6.3995
476, 5.7887
477, 2.5379
478, 7.2738
479, 5.5801
480, 7.2920
481, 10.7737
482, 9.0566
483, 5.6029
484, 8.9731
485, 5.7069
486, 9.3314
487, 2.5589
488, 11.1964
489, 4.4864
490, 9.1122
491, 7.0907
492, 9.0327
493, 6.6557
494, 7.2655
495, 6.5856
496, 5.2264
497, 11.3159
498, 11.2379
499, 9.2417
500, 6.1824
501, 10.6819
502, 7.0556
503, 9.9898
504, 3.3150
505, 9.4835
506, 8.5670
507, 15.3379
508, 10.8389
509, 15.0486
510, 7.8886
511, 12.8252
512, 10.7373
513, 9.9326
514, 5.7107
515, 12.6626
516, 13.5320
517, 7.9676
518, 10.0953
519, 3.7550
520, 9.4713
521, 9.6453
522, 7.0739
523, 7.3851
524, 9.0687
525, 4.6440
526, 5.3453
527, 9.0426
528, 10.4981
529, 7.0840
530, 8.7469
531, 11.9995
532, 8.2512
533, 6.6311
534, 6.5956
535, 6.5788
536, 5.6249
537, 6.5754
538, 3.2096
539, 9.0915
540, 10.2643
541, 2.7042
542, 9.6853
543, 6.9648
544, 8.2732
545, 9.8307
546, 6.3217
547, 16.3584
548, 17.7832
549, 15.9346
550, 11.4205
551, 9.0156
552, 12.2148
553, 7.7817
554, 13.1588
555, 13.9193
556, 13.1216
557, 15.5043
558, 13.8301
559, 10.6530
560, 11.6354
561, 13.8132
562, 24.9822
563, 12.1488
564, 14.0805
565, 7.6189
566, 10.9974
567, 14.0689
568, 11.3705
569, 10.7959
570, 11.6547
571, 10.4807
572, 6.8285
573, 5.5283
574, 5.9809
575, 9.8277
576, 8.5701
577, 8.0708
578, 6.1087
579, 5.8240
580, 5.2924
581, 14.3324
582, 1.0323
583, 9.5732
584, 5.5357
585, 6.6860
586, 1.0563
587, 6.8800
588, 4.7363
589, 13.5265
590, 11.2704
591, 12.6623
592, 11.2236
593, 11.3821
594, 14.2856
595, 6.8527
596, 12.1335
597, 9.8480
598, 11.9903
599, 13.8619
600, 7.5057
601, 14.8296
602, 12.7370
603, 14.6132
604, 11.0188
605, 11.0943
606, 14.2415
607, 13.9087
608, 10.2341
609, 7.2160
610, 9.5700
611, 11.7007
612, 13.7452
613, 12.4747
614, 10.7237
615, 12.4300
616, 11.0951
617, 9.9221
618, 11.4385
619, 14.2274
620, 11.8829
621, 6.9493
622, 1.3192
623, 9.1624
624, 8.8114
625, 11.7383
626, 8.8872
627, 11.0837
628, 10.4884
629, 5.0599
630, 8.9056
631, 9.2460
632, 10.0869
633, 5.2238
634, 8.3250
635, 7.6338
636, 12.5275
637, 11.7827
638, 6.7157
639, 7.2261
640, 14.2941
641, 10.3287
642, 11.5741
643, 10.3960
644, 16.1502
645, 9.7334
646, 16.3659
647, 18.9307
648, 15.8963
649, 21.8490
650, 16.3244
651, 17.0649
652, 9.9849
653, 30.8824
654, 19.3838
655, 17.5330
656, 15.8305
657, 18.1812
658, 19.3416
659, 21.8305
660, 12.7408
661, 18.0571
662, 14.3583
663, 16.4893
664, 16.0169
665, 16.3411
666, 16.9842
667, 15.9017
668, 13.7824
669, 28.5421
670, 17.2690
671, 21.9782
672, 16.0230
673, 13.5475
674, 22.3779
675, 13.4769
676, 11.1203
677, 7.0389
678, 7.2111
679, 11.3145
680, 8.4251
681, 10.4004
682, 11.2688
683, 6.6948
684, 9.0154
685, 8.4068
686, 13.0242
687, 12.4828
688, 11.1558
689, 21.2609
690, 9.6691
691, 9.0207
692, 11.8228
693, 11.5220
694, 14.8435
695, 13.1354
696, 26.7931
697, 17.8257
698, 7.7816
699, 15.0581
700, 13.4214
701, 12.1025
702, 17.8109
703, 14.0142
704, 12.4491
705, 20.6862
706, 17.4588
707, 20.0128
708, 14.4115
709, 17.4217
710, 19.1081
711, 16.7260
712, 13.7338
713, 11.6444
714, 11.0602
715, 10.5195
716, 11.3476
717, 21.4004
718, 12.7368
719, 16.0538
720, 14.4085
721, 2.4227
722, 17.3631
723, 13.7819
724, 15.4155
725, 9.3724
726, 20.8100
727, 15.1477
728, 14.8916
729, 10.9078
730, 8.0140
731, 4.2869
732, 19.0246
733, 11.5032
734, 11.3190
735, 18.5362
736, 5.0810
737, 22.3765
738, 15.3066
739, 20.5989
740, 16.0897
741, 17.1910
742, 21.5570
743, 19.3181
744, 14.6943
745, 22.7557
746, 13.9283
747, 8.9288
748, 16.0688
749, 21.7375
750, 16.4749
751, 18.6777
752, 12.1741
753, 19.6341
754, 21.7963
755, 30.2193
756, 16.7973
757, 22.6832
758, 23.5501
759, 36.9747
760, 15.6250
761, 24.8061
762, 19.4543
763, 17.1159
764, 21.4189
765, 21.8085
766, 25.3200
767, 19.3237
768, 20.2714
769, 9.9827
770, 15.6239
771, 17.2958
772, 18.7700
773, 17.6044
774, 17.4166
775, 14.8767
776, 19.1203
777, 16.7968
778, 20.7465
