# Episodio, Loss
0, 0.7150
1, 97.3426
2, 122.8055
3, 105.9809
4, 152.3217
5, 155.3610
6, 116.0813
7, 111.6099
8, 149.5391
9, 131.5423
10, 164.2516
11, 104.5825
12, 79.0640
13, 76.7675
14, 78.2837
15, 48.2542
16, 73.2156
17, 74.6918
18, 83.0283
19, 57.7725
20, 62.2749
21, 96.6119
22, 62.3076
23, 48.5699
24, 70.0561
25, 46.6500
26, 69.7928
27, 60.5488
28, 64.7643
29, 57.3635
30, 58.4058
31, 43.2685
32, 46.7574
33, 66.3921
34, 53.3544
35, 81.2994
36, 93.5863
37, 64.7465
38, 65.2652
39, 90.4749
40, 68.8464
41, 52.8854
42, 81.1579
43, 74.5082
44, 85.9536
45, 93.3252
46, 80.8041
47, 70.3351
48, 59.3126
49, 76.5448
50, 83.2329
51, 35.5285
52, 86.1240
53, 71.5366
54, 86.6907
55, 66.8588
56, 76.5756
57, 81.9301
58, 77.7996
59, 82.0125
60, 99.0636
61, 70.7382
62, 56.8910
63, 67.3070
64, 66.3102
65, 45.7442
66, 49.9975
67, 41.1875
68, 40.9693
69, 48.6312
70, 55.1116
71, 63.4397
72, 42.8380
73, 53.1563
74, 52.3402
75, 54.5156
76, 38.8290
77, 47.2548
78, 54.6356
79, 63.1519
80, 44.7482
81, 57.7940
82, 42.7221
83, 57.3341
84, 54.5249
85, 45.3417
86, 48.1240
87, 59.2227
88, 56.0763
89, 50.3655
90, 43.2358
91, 63.9613
92, 48.8220
93, 35.2910
94, 40.5824
95, 56.0555
96, 56.3049
97, 41.0334
98, 33.7255
99, 43.2276
100, 32.2008
101, 43.9787
102, 49.1136
103, 43.1426
104, 51.5804
105, 44.4027
106, 33.0866
107, 33.9235
108, 32.2239
109, 44.5603
110, 34.9217
111, 77.5500
112, 43.1474
113, 47.1446
114, 48.8302
115, 48.5758
116, 32.5357
117, 27.2370
118, 40.6465
119, 38.7282
120, 54.0226
121, 43.0095
122, 30.2381
123, 31.4955
124, 41.8746
125, 29.9942
126, 32.7924
127, 27.6729
128, 29.7173
129, 28.8156
130, 24.0067
131, 25.4139
132, 28.0228
133, 26.4421
134, 20.7086
135, 37.3331
136, 25.8009
137, 23.9639
138, 20.5437
139, 21.9956
140, 27.7618
141, 22.2431
142, 26.0941
143, 20.0668
144, 17.1087
145, 17.9669
146, 19.6731
147, 15.9798
148, 19.4378
149, 14.0633
150, 16.2898
151, 18.1269
152, 18.2329
153, 12.5938
154, 14.4908
155, 13.2775
156, 14.5373
157, 15.0514
158, 14.7147
159, 12.3392
160, 13.0141
161, 8.6209
162, 9.2739
163, 8.6961
164, 10.4602
165, 8.9964
166, 8.5652
167, 8.7828
168, 7.5583
169, 8.4637
170, 7.5239
171, 8.8751
172, 8.2423
173, 9.0510
174, 7.9006
175, 6.2806
176, 7.3122
177, 9.1388
178, 8.2941
179, 10.5510
180, 8.1359
181, 8.9137
182, 7.7276
183, 6.4019
184, 6.3678
185, 6.2526
186, 6.9895
187, 7.3388
188, 11.3789
189, 8.1793
190, 7.1039
191, 8.9153
192, 7.3477
193, 6.0682
194, 7.6513
195, 7.8457
196, 11.1954
197, 10.3513
198, 8.8487
199, 7.9171
200, 6.7368
201, 8.5391
202, 8.4964
203, 9.9849
204, 10.9946
205, 16.3702
206, 10.4231
207, 10.2278
208, 9.8332
209, 7.9773
210, 5.1081
211, 7.6321
212, 6.6586
213, 5.1119
214, 5.6223
215, 5.7580
216, 3.7454
217, 3.7284
218, 2.5947
219, 2.9264
220, 3.8726
221, 6.2597
222, 5.2277
223, 4.9341
224, 5.7425
225, 5.5997
226, 5.9473
227, 6.1886
228, 5.9779
229, 5.6887
230, 5.2854
231, 4.3749
232, 4.0314
233, 3.9090
234, 4.0822
235, 4.0655
236, 4.1476
237, 4.1268
238, 4.8071
239, 6.4809
240, 5.2150
241, 3.5847
242, 4.6298
243, 5.1094
244, 3.8538
245, 6.4992
246, 6.6647
247, 4.7249
248, 6.2628
249, 6.9823
250, 8.3268
251, 7.2719
252, 9.5059
253, 8.2622
254, 7.1548
255, 6.5771
256, 5.2154
257, 8.6281
258, 7.1614
259, 6.9839
260, 5.1136
261, 8.3600
262, 7.5381
263, 6.7666
264, 7.8239
265, 7.5702
266, 7.9739
267, 10.5734
268, 8.4243
269, 9.6175
270, 7.8603
271, 8.0785
272, 9.2592
273, 8.0880
274, 8.4403
275, 6.0870
276, 11.4700
277, 7.7607
278, 7.2600
279, 6.7319
280, 7.9662
281, 8.7359
282, 4.6097
283, 8.7608
284, 8.6054
285, 7.8182
286, 10.6355
287, 8.2540
288, 9.8858
289, 7.1132
290, 8.8003
291, 6.9170
292, 3.9688
293, 9.2774
294, 7.0978
295, 5.4314
296, 6.0963
297, 7.7640
298, 5.8603
299, 7.9250
300, 8.4610
301, 4.3868
302, 8.9334
303, 7.3267
304, 7.0938
305, 9.4703
306, 11.6417
307, 10.6053
308, 8.6972
309, 9.5896
310, 6.7150
311, 11.8488
312, 5.5219
313, 17.3712
314, 11.5007
315, 18.2374
316, 16.8864
317, 1.3926
318, 10.7106
319, 33.1504
320, 23.1440
321, 17.7206
322, 23.2237
323, 14.4807
324, 31.4235
325, 26.5786
326, 19.8396
327, 25.4624
328, 28.9969
329, 25.3879
330, 32.4093
331, 30.0011
332, 27.6041
333, 22.6404
334, 38.9397
335, 14.3634
336, 31.0043
337, 29.7425
338, 21.2911
339, 26.9154
340, 25.9805
341, 35.1521
342, 21.0088
343, 12.1938
344, 18.3129
345, 26.8372
346, 19.1696
347, 17.2163
348, 9.9005
349, 9.4720
350, 8.0718
351, 12.3595
352, 9.2830
353, 10.6774
354, 12.4558
355, 10.7921
356, 8.5442
357, 8.0616
358, 9.1212
359, 7.6229
360, 8.5222
361, 4.8918
362, 9.8261
363, 8.1245
364, 11.2045
365, 12.9772
366, 5.9109
367, 11.6815
368, 9.4247
369, 4.1847
370, 10.4178
371, 9.3879
372, 11.4784
373, 16.7836
374, 14.4829
375, 15.0515
376, 20.3649
377, 17.8734
378, 19.7676
379, 24.7915
380, 19.9706
381, 15.8736
382, 12.5011
383, 22.6072
384, 16.2900
385, 14.5321
386, 20.2295
387, 11.8233
388, 31.8533
389, 44.7552
390, 23.7781
391, 25.5158
392, 16.2386
393, 17.1544
394, 19.4030
395, 17.9320
396, 14.1059
397, 11.3505
398, 12.0535
399, 21.2309
400, 18.6094
401, 7.0235
402, 10.0013
403, 16.8924
404, 19.0729
405, 27.4314
406, 17.8562
407, 23.9547
408, 20.9891
409, 26.9888
410, 23.4850
411, 19.4116
412, 27.4882
413, 2.6683
414, 26.6645
415, 22.0886
416, 27.7820
417, 32.6639
418, 25.3061
419, 29.5265
420, 22.5973
421, 17.1720
422, 29.0264
423, 27.4385
424, 24.6730
425, 22.1341
426, 20.5790
427, 26.0170
428, 26.7144
429, 24.5931
430, 31.1378
431, 24.3122
432, 33.2320
433, 24.6435
434, 34.7491
435, 31.0835
436, 25.4173
437, 21.3864
438, 11.3693
439, 21.9929
440, 15.8288
441, 14.9196
442, 17.2868
443, 27.3789
444, 45.4476
445, 15.2270
446, 31.2880
447, 13.6615
448, 26.3249
449, 18.3750
450, 17.9930
451, 14.4118
452, 44.9826
453, 21.7854
454, 16.6920
455, 36.2038
456, 28.8252
457, 27.4805
458, 29.2352
459, 28.3480
460, 28.6640
461, 28.3463
462, 32.5126
463, 22.1192
464, 24.5644
465, 42.0532
466, 26.5960
467, 24.1595
468, 22.5967
469, 16.6124
470, 29.6813
471, 18.8419
472, 31.2180
473, 29.1544
474, 22.4751
475, 26.9793
476, 18.7158
477, 34.6021
478, 20.2326
479, 21.2098
480, 12.6318
481, 25.0613
482, 52.9098
