# Episodio, Score
0, -235.66
1, -93.31
2, -102.01
3, -11.88
4, -215.79
5, -90.63
6, -435.36
7, -22.22
8, -84.07
9, -81.89
10, -290.30
11, -330.87
12, -153.85
13, -59.42
14, -324.02
15, -145.68
16, -233.53
17, -104.09
18, -212.27
19, -118.61
20, -62.69
21, -149.79
22, -138.70
23, -123.76
24, -146.46
25, -166.40
26, -185.96
27, -191.93
28, -263.84
29, -267.27
30, -193.22
31, -138.63
32, -179.82
33, -140.60
34, -144.48
35, -301.04
36, -101.32
37, -235.09
38, -112.53
39, -92.70
40, -220.03
41, -174.10
42, -75.90
43, -11.19
44, -45.19
45, -174.35
46, -141.56
47, -90.68
48, -122.39
49, -115.54
50, -136.07
51, -118.77
52, -106.90
53, -0.65
54, -225.41
55, -321.98
56, -65.41
57, -126.55
58, -128.68
59, -94.62
60, -133.53
61, -54.61
62, -95.53
63, -103.71
64, -104.71
65, -118.33
66, -102.89
67, -174.81
68, -121.30
69, -171.29
70, -112.41
71, -83.64
72, -141.98
73, -149.80
74, -222.24
75, -203.34
76, -125.18
77, -128.96
78, -142.40
79, -142.98
80, -54.77
81, -124.89
82, -105.26
83, -90.33
84, -8.72
85, -72.23
86, 40.53
87, -74.09
88, -95.10
89, -133.93
90, -159.23
91, -79.08
92, -73.58
93, -57.41
94, -47.25
95, -111.27
96, -86.39
97, 2.01
98, -38.80
99, -112.75
100, -131.45
101, 5.56
102, 8.81
103, -92.88
104, -82.12
105, -62.08
106, -55.02
107, -77.74
108, -29.70
109, -82.61
110, -35.95
111, 5.40
112, -116.37
113, -51.35
114, -140.35
115, -60.88
116, -71.92
117, -53.35
118, -297.65
119, -201.06
120, -117.92
121, -73.49
122, -1.22
123, -61.92
124, -141.41
125, -75.18
126, -158.54
127, 6.29
128, -52.23
129, -155.29
130, -7.85
131, -52.69
132, -103.51
133, -12.17
134, -34.92
135, -74.62
136, -44.34
137, 2.51
138, -49.34
139, -227.00
140, -24.43
141, -54.50
142, -1.25
143, -106.31
144, -92.41
145, -53.43
146, -29.33
147, -35.45
148, -13.80
149, -6.39
150, -40.28
151, -9.88
152, -65.10
153, -59.08
154, 15.07
155, -42.87
156, -42.39
157, -92.31
158, -118.11
159, -40.32
160, -45.60
161, -38.18
162, -473.19
163, -319.81
164, -84.01
165, -39.47
166, -71.97
167, -78.40
168, 14.16
169, -126.52
170, -200.53
171, -85.56
172, -20.87
173, -88.99
174, -449.84
175, -109.28
176, -194.24
177, 48.17
178, -426.49
179, -145.77
180, -66.93
181, -181.72
182, -204.97
183, -172.11
184, -45.78
185, -87.91
186, -139.02
187, -77.44
188, -19.74
189, -259.83
190, -46.91
191, -44.90
192, -255.34
