# Episodio, Score_Promedio_50ep
49, -157.05
50, -155.06
51, -155.57
52, -155.67
53, -155.44
54, -155.64
55, -160.26
56, -152.86
57, -154.95
58, -155.84
59, -156.10
60, -152.96
61, -147.44
62, -146.27
63, -147.16
64, -142.77
65, -142.22
66, -139.61
67, -141.02
68, -139.20
69, -140.26
70, -141.25
71, -139.93
72, -140.00
73, -140.52
74, -142.03
75, -142.77
76, -141.55
77, -140.30
78, -137.87
79, -135.38
80, -132.61
81, -132.34
82, -130.85
83, -129.84
84, -127.13
85, -122.55
86, -119.71
87, -116.49
88, -116.14
89, -116.97
90, -115.75
91, -113.85
92, -113.81
93, -114.73
94, -114.77
95, -113.51
96, -112.41
97, -110.55
98, -108.88
99, -108.82
100, -108.73
101, -106.25
102, -103.93
103, -105.78
104, -102.91
105, -97.71
106, -97.50
107, -96.53
108, -94.55
109, -94.31
110, -92.36
111, -91.16
112, -91.57
113, -90.53
114, -91.24
115, -90.09
116, -89.47
117, -87.04
118, -90.57
119, -91.16
120, -91.27
121, -91.07
122, -88.26
123, -86.50
124, -84.88
125, -82.32
126, -82.99
127, -80.28
128, -78.48
129, -78.72
130, -77.79
131, -76.34
132, -76.31
133, -74.74
134, -75.27
135, -75.31
136, -77.01
137, -75.48
138, -74.56
139, -76.43
140, -73.73
141, -73.24
142, -71.79
143, -72.77
144, -73.67
145, -72.52
146, -71.38
147, -72.12
148, -71.62
149, -69.50
150, -67.67
151, -67.98
152, -69.46
153, -68.78
154, -66.84
155, -66.46
156, -66.20
157, -66.50
158, -68.26
159, -67.42
160, -67.61
161, -68.48
162, -75.62
163, -80.99
164, -79.86
165, -79.43
166, -79.43
167, -79.93
168, -73.70
169, -72.21
170, -73.86
171, -74.10
172, -74.49
173, -75.04
174, -81.20
175, -81.89
176, -82.60
177, -81.76
178, -89.25
179, -89.06
180, -90.24
181, -92.82
182, -94.85
183, -98.05
184, -98.26
185, -98.53
186, -100.42
187, -102.02
188, -101.43
189, -102.09
190, -102.54
191, -102.35
192, -107.43
193, -105.88
194, -107.02
195, -106.77
196, -108.02
197, -107.50
198, -109.41
199, -110.91
200, -110.91
201, -116.55
202, -115.51
203, -120.80
204, -123.65
205, -123.77
206, -127.74
207, -128.96
208, -128.45
209, -130.19
210, -131.46
211, -131.35
212, -122.88
213, -116.88
214, -117.55
215, -116.16
216, -118.07
217, -117.21
218, -120.04
219, -117.01
220, -115.61
221, -117.21
222, -120.34
223, -120.50
224, -113.09
225, -112.53
226, -109.77
227, -110.87
228, -105.16
229, -101.36
230, -100.88
231, -99.55
232, -96.84
233, -96.19
234, -98.65
235, -98.31
236, -100.04
237, -106.98
238, -108.94
239, -108.03
240, -109.52
241, -109.88
242, -105.34
243, -104.88
244, -104.10
245, -104.75
246, -103.97
247, -104.48
248, -99.63
249, -100.84
250, -100.49
251, -96.38
252, -95.88
253, -91.11
254, -87.76
255, -88.66
256, -86.78
257, -83.07
258, -83.29
259, -83.18
260, -83.03
261, -79.60
262, -78.48
263, -82.18
264, -81.10
265, -87.03
266, -83.50
267, -81.87
268, -80.16
269, -78.80
270, -77.60
271, -73.64
272, -77.49
273, -73.94
274, -72.18
275, -79.43
276, -78.11
277, -79.05
278, -76.80
279, -81.31
280, -81.77
281, -76.62
282, -77.47
283, -74.16
284, -71.12
285, -68.04
286, -63.44
287, -54.48
288, -52.41
289, -48.20
290, -46.41
291, -45.17
292, -42.47
293, -44.36
294, -42.92
295, -39.21
296, -38.48
297, -34.28
298, -36.50
299, -32.52
300, -32.70
301, -27.74
302, -28.35
303, -23.67
304, -25.82
305, -20.45
306, -18.35
307, -24.34
308, -18.72
309, -16.94
310, -15.47
311, -14.45
312, -14.73
313, -12.46
314, -13.80
315, -9.50
316, -12.01
317, -14.11
318, -15.68
319, -13.59
320, -9.39
321, -12.49
322, -2.26
323, -0.72
324, 2.97
325, 13.92
326, 13.66
327, 16.33
328, 13.54
329, 15.34
330, 15.76
331, 16.25
332, 14.26
333, 15.70
334, 15.35
335, 12.77
336, 8.09
337, 8.10
338, 8.73
339, 11.68
340, 12.05
341, 12.10
342, 6.73
343, 7.60
344, 8.55
345, 5.69
346, 7.89
347, 8.57
348, 5.71
349, 2.35
350, -1.53
351, -8.72
352, -8.32
353, -11.77
354, -10.71
355, -16.97
356, -18.79
357, -13.00
358, -13.42
359, -15.81
360, -18.74
361, -18.49
362, -15.14
363, -9.79
364, -7.38
365, -9.21
366, -7.07
367, -6.56
368, -1.74
369, -5.03
370, -10.11
371, -10.33
372, -14.14
373, -20.71
374, -26.70
375, -25.08
376, -21.53
377, -28.47
378, -22.14
379, -24.22
380, -19.75
381, -23.27
382, -22.99
383, -26.16
384, -24.57
385, -25.15
386, -17.59
387, -20.54
388, -23.57
389, -28.05
390, -28.51
391, -29.62
392, -23.22
393, -23.90
394, -28.20
395, -26.54
396, -28.96
397, -29.18
398, -22.46
399, -15.53
400, -7.71
401, -3.70
402, -4.32
403, -6.25
404, -6.39
405, 0.09
406, 6.53
407, 5.10
408, -2.28
409, -1.17
410, -0.21
411, -6.20
412, -11.08
413, -14.74
414, -14.14
415, -11.68
416, -12.84
417, -7.24
418, -7.02
419, -7.75
420, -6.59
421, -3.68
422, 0.14
423, 6.62
424, 12.23
425, 12.44
426, 12.62
427, 15.21
428, 11.22
429, 14.65
430, 10.71
431, 9.26
432, 12.05
433, 17.02
434, 14.35
435, 19.65
436, 15.88
437, 21.03
438, 28.51
439, 27.77
440, 32.39
441, 37.93
442, 39.67
443, 45.90
444, 49.07
445, 47.45
446, 53.60
447, 55.10
448, 55.03
449, 49.63
450, 45.26
451, 44.70
452, 43.75
453, 45.06
454, 43.89
455, 44.70
456, 45.03
457, 45.81
458, 54.19
459, 60.41
460, 66.69
461, 66.89
462, 72.30
463, 76.46
464, 72.50
465, 72.21
466, 77.43
467, 76.49
468, 75.96
469, 74.92
470, 79.26
471, 78.81
472, 79.56
473, 72.94
474, 73.30
475, 73.50
476, 73.63
477, 80.45
478, 86.01
479, 90.85
480, 90.91
481, 92.18
482, 91.70
483, 86.46
484, 87.77
485, 83.71
486, 88.47
487, 90.69
488, 86.39
489, 88.46
490, 83.38
491, 78.87
492, 74.13
493, 73.67
494, 67.23
495, 66.50
496, 59.70
497, 52.15
498, 51.20
499, 51.38
500, 56.84
501, 55.31
502, 56.15
503, 63.13
504, 69.31
505, 64.42
506, 59.13
507, 59.42
508, 58.33
509, 54.40
510, 55.24
511, 56.51
512, 55.83
513, 53.58
514, 56.43
515, 61.35
516, 57.02
517, 57.27
518, 60.50
519, 60.73
520, 61.59
521, 61.69
522, 63.17
523, 64.82
524, 64.11
525, 58.89
526, 54.80
527, 48.92
528, 44.21
529, 39.14
530, 43.37
531, 48.33
532, 53.61
533, 58.19
534, 62.68
535, 67.42
536, 61.55
537, 58.42
538, 62.86
539, 60.82
540, 65.67
541, 63.31
542, 62.93
543, 58.15
544, 70.10
545, 68.17
546, 69.66
547, 76.70
548, 72.28
549, 68.90
550, 68.97
551, 70.85
552, 75.62
553, 73.81
554, 69.76
555, 67.68
556, 73.19
557, 77.59
558, 69.36
559, 72.99
560, 67.68
561, 73.00
562, 67.63
563, 63.91
564, 67.98
565, 69.02
566, 74.87
567, 75.69
568, 70.09
569, 75.49
570, 76.68
571, 78.27
572, 72.32
573, 67.47
574, 63.46
575, 65.58
576, 69.85
577, 75.80
578, 75.80
579, 75.68
580, 75.81
581, 76.04
582, 76.76
583, 79.01
584, 78.97
585, 73.05
586, 75.33
587, 75.76
588, 75.82
589, 76.95
590, 78.07
591, 84.97
592, 88.94
593, 94.02
594, 85.65
595, 94.37
596, 97.92
597, 90.32
598, 92.39
599, 95.56
600, 90.58
601, 91.08
602, 86.71
603, 86.37
604, 90.56
605, 97.52
606, 98.30
607, 98.26
608, 103.50
609, 103.45
610, 108.62
611, 108.04
612, 112.56
613, 118.31
614, 116.07
615, 115.13
616, 108.72
617, 108.18
618, 112.21
619, 112.61
620, 111.95
621, 115.79
622, 120.85
623, 129.76
624, 135.03
625, 138.71
626, 132.04
627, 132.74
628, 131.95
629, 135.73
630, 136.57
631, 133.79
632, 134.29
633, 133.52
634, 129.20
635, 135.13
636, 139.49
637, 141.23
638, 140.01
639, 145.70
640, 145.30
641, 144.89
642, 143.67
643, 143.10
644, 144.97
645, 143.53
646, 143.02
647, 145.84
648, 149.63
649, 154.20
650, 152.14
651, 149.47
652, 150.67
653, 151.42
654, 150.66
655, 150.82
656, 145.79
657, 138.58
658, 142.75
659, 142.83
660, 138.48
661, 138.61
662, 133.66
663, 127.28
664, 130.27
665, 119.20
666, 117.39
667, 117.34
668, 110.86
669, 108.37
670, 101.26
671, 93.58
672, 93.44
673, 96.44
674, 96.49
675, 95.87
676, 95.22
677, 89.34
678, 89.95
679, 92.04
680, 91.89
681, 94.89
682, 94.29
683, 89.36
684, 90.48
685, 86.79
686, 85.89
687, 82.09
688, 82.49
689, 80.75
690, 80.34
691, 78.49
692, 75.46
693, 74.85
694, 81.53
695, 75.91
696, 77.37
697, 81.25
698, 81.14
699, 82.28
700, 86.09
701, 93.53
702, 97.13
703, 97.59
704, 96.84
705, 92.28
706, 89.83
707, 96.89
708, 96.44
709, 97.38
710, 101.07
711, 94.37
712, 102.07
713, 109.85
714, 111.06
715, 116.02
716, 122.86
717, 115.30
718, 122.71
719, 125.40
720, 132.92
721, 140.54
722, 137.00
723, 136.09
724, 136.27
725, 135.37
726, 138.90
727, 144.61
728, 148.88
729, 145.94
730, 143.91
731, 143.58
732, 137.41
733, 141.89
734, 145.72
735, 143.89
736, 145.23
737, 146.91
738, 142.35
739, 144.23
740, 145.42
741, 146.71
742, 150.59
743, 152.08
744, 151.94
745, 158.32
746, 155.44
747, 156.13
748, 155.77
749, 156.01
750, 160.13
751, 156.27
752, 155.85
753, 155.18
754, 156.33
755, 159.75
756, 164.07
757, 159.07
758, 161.13
759, 161.39
760, 161.26
761, 162.24
762, 161.76
763, 162.30
764, 151.80
765, 158.09
766, 155.73
767, 164.12
768, 164.62
769, 161.71
770, 160.70
771, 160.14
772, 162.26
773, 155.05
774, 150.28
775, 150.48
776, 154.17
777, 154.58
778, 155.21
779, 157.33
780, 152.49
781, 153.13
782, 160.26
783, 160.88
784, 155.75
785, 159.25
786, 159.57
787, 156.29
788, 157.34
789, 151.43
790, 150.69
791, 147.61
792, 146.54
793, 146.00
794, 144.70
795, 138.47
796, 140.65
797, 140.92
798, 141.15
799, 140.59
800, 140.17
801, 139.40
802, 139.63
803, 139.60
804, 140.30
805, 140.68
806, 142.91
807, 147.38
808, 144.54
809, 142.84
810, 144.29
811, 144.91
812, 146.53
813, 139.43
814, 149.14
815, 150.02
816, 146.92
817, 146.83
818, 146.73
819, 143.73
820, 143.80
821, 140.05
822, 143.33
823, 151.24
824, 156.17
825, 152.62
826, 148.73
827, 143.65
828, 138.97
829, 134.89
830, 136.42
831, 135.94
832, 131.51
833, 131.45
834, 136.79
835, 138.10
836, 137.27
837, 137.57
838, 141.67
839, 143.32
840, 139.00
841, 142.28
842, 144.28
843, 138.96
844, 138.98
845, 145.01
846, 140.01
847, 139.85
848, 134.19
849, 132.62
850, 132.38
851, 132.38
852, 126.38
853, 126.25
854, 121.88
855, 122.61
856, 119.27
857, 119.80
858, 121.70
859, 123.43
860, 122.43
861, 126.84
862, 125.77
863, 131.77
864, 127.51
865, 121.58
866, 127.82
867, 120.47
868, 120.19
869, 125.97
870, 121.40
871, 124.83
872, 123.73
873, 122.93
874, 121.87
875, 126.79
876, 127.68
877, 133.44
878, 138.28
879, 138.37
880, 143.30
881, 138.24
882, 141.50
883, 141.63
884, 137.25
885, 139.01
886, 139.52
887, 145.68
888, 141.62
889, 146.10
890, 151.04
891, 147.96
892, 142.50
893, 148.47
894, 150.05
895, 149.38
896, 155.06
897, 155.61
898, 161.54
899, 158.16
900, 157.56
901, 162.22
902, 168.33
903, 169.38
904, 173.35
905, 173.49
906, 170.88
907, 159.07
908, 158.14
909, 157.95
910, 159.32
911, 161.21
912, 156.25
913, 155.27
914, 159.51
915, 165.16
916, 163.89
917, 166.00
918, 165.72
919, 164.20
920, 169.03
921, 168.30
922, 167.22
923, 168.60
924, 169.63
925, 169.29
926, 173.19
927, 171.55
928, 171.58
929, 175.25
930, 176.65
931, 181.77
932, 182.14
933, 178.85
934, 183.39
935, 182.98
936, 182.53
937, 181.80
938, 185.75
939, 185.76
940, 185.70
941, 189.96
942, 195.94
943, 196.35
944, 196.01
945, 195.62
946, 195.57
947, 194.60
948, 195.00
949, 199.48
950, 200.34
951, 199.87
952, 198.52
953, 197.99
954, 198.07
955, 198.55
956, 205.44
957, 217.73
958, 219.05
959, 219.31
960, 218.68
961, 213.55
962, 218.74
963, 215.43
964, 215.78
965, 215.44
966, 216.76
967, 221.11
968, 221.21
969, 222.24
970, 223.14
971, 224.25
972, 222.46
973, 221.63
974, 221.73
975, 222.06
976, 221.84
977, 223.17
978, 222.88
979, 223.08
980, 221.88
981, 218.96
982, 219.87
983, 222.95
984, 217.37
985, 211.80
986, 212.05
987, 212.32
988, 212.88
989, 212.62
990, 205.61
991, 205.92
992, 206.28
993, 206.44
994, 206.64
995, 208.40
996, 208.39
997, 208.39
998, 208.07
999, 208.75
1000, 209.44
1001, 209.69
1002, 211.50
1003, 211.42
1004, 212.12
1005, 211.31
1006, 206.25
1007, 207.50
1008, 205.95
1009, 204.72
1010, 205.22
1011, 210.06
1012, 210.26
1013, 214.69
1014, 214.95
1015, 214.52
1016, 214.80
1017, 215.26
1018, 215.68
1019, 215.62
1020, 215.66
1021, 216.42
1022, 219.72
1023, 220.46
1024, 219.50
1025, 219.44
1026, 220.31
1027, 220.30
1028, 221.98
1029, 222.27
1030, 223.32
1031, 226.76
1032, 226.62
